span_label_combo,count
LOCATION,127
PER-PM,78
"LOCATION, PER-PM",71
"LOCATION, ORGANIZATION",68
"LOCATION, ORGANIZATION, PER-PM",68
"LOCATION, MEDICAL, ORGANIZATION, PER-PM",57
ORGANIZATION,43
"ORGANIZATION, PER-PM",35
"PER-PM, PER-PTG",28
MEDICAL,28
"LOCATION, MEDICAL, PER-PM, PER-PTG",26
"LOCATION, MEDICAL, ORGANIZATION, PER-PM, PER-PTG",23
"LOCATION, PER-PTG",21
"LOCATION, ORGANIZATION, PER-PM, PER-PTG",21
"LOCATION, MEDICAL, PER-PM",16
"MEDICAL, PER-PM",16
"LOCATION, PER-PM, PER-PTG",16
"LOCATION, MEDICAL",15
"MEDICAL, ORGANIZATION, PER-PM",15
"LOCATION, ORGANIZATION, PER-PTG",14
